Time - Low Level,Amplitude - Low Level,Time - High Level,Amplitude - High Level,Time - Set Value,Amplitude - Set Value,Time - Tank B Level,Amplitude - Tank B Level,Time - Tank A Level,Amplitude - Tank A Level,Time - Volts to Valve,Amplitude - Volts to Valve
6560,6,6560,8,6560,5,6560,NaN,6560,NaN,6560,10
6561,6,6561,8,6561,5,6561,NaN,6561,NaN,6561,10
6562,6,6562,8,6562,5,6562,NaN,6562,NaN,6562,10
6563,6,6563,8,6563,5,6563,NaN,6563,NaN,6563,10
6564,6,6564,8,6564,5,6564,NaN,6564,NaN,6564,10
6565,6,6565,8,6565,5,6565,NaN,6565,NaN,6565,10
6566,6,6566,8,6566,5,6566,NaN,6566,NaN,6566,10
6567,6,6567,8,6567,5,6567,NaN,6567,NaN,6567,10
6568,6,6568,8,6568,5,6568,NaN,6568,NaN,6568,10
6569,6,6569,8,6569,5,6569,NaN,6569,NaN,6569,10
6570,6,6570,8,6570,5,6570,NaN,6570,NaN,6570,10
6571,6,6571,8,6571,5,6571,NaN,6571,NaN,6571,10
6572,6,6572,8,6572,5,6572,NaN,6572,NaN,6572,10
6573,6,6573,8,6573,5,6573,NaN,6573,NaN,6573,10
6574,6,6574,8,6574,5,6574,NaN,6574,NaN,6574,10
6575,6,6575,8,6575,5,6575,NaN,6575,NaN,6575,10
6576,6,6576,8,6576,5,6576,NaN,6576,NaN,6576,10
6577,6,6577,8,6577,5,6577,NaN,6577,NaN,6577,10
6578,6,6578,8,6578,5,6578,NaN,6578,NaN,6578,10
6579,6,6579,8,6579,5,6579,NaN,6579,NaN,6579,10
6580,6,6580,8,6580,5,6580,NaN,6580,NaN,6580,10
6581,6,6581,8,6581,5,6581,NaN,6581,NaN,6581,10
6582,6,6582,8,6582,5,6582,NaN,6582,NaN,6582,10
6583,6,6583,8,6583,5,6583,NaN,6583,NaN,6583,10
6584,6,6584,8,6584,5,6584,NaN,6584,NaN,6584,10
6585,6,6585,8,6585,5,6585,NaN,6585,NaN,6585,10
6586,6,6586,8,6586,5,6586,NaN,6586,NaN,6586,10
6587,6,6587,8,6587,5,6587,NaN,6587,NaN,6587,10
6588,6,6588,8,6588,5,6588,NaN,6588,NaN,6588,0
6589,6,6589,8,6589,5,6589,12.3119,6589,-0.459498,6589,0
6590,6,6590,8,6590,5,6590,12.3612,6590,-0.460472,6590,0
6591,6,6591,8,6591,5,6591,11.7263,6591,-0.460435,6591,0
6592,6,6592,8,6592,5,6592,11.7098,6592,-0.460451,6592,0
6593,6,6593,8,6593,5,6593,11.6917,6593,-0.460559,6593,0
6594,6,6594,8,6594,5,6594,11.6749,6594,-0.46048,6594,0
6595,6,6595,8,6595,5,6595,11.6577,6595,-0.460795,6595,0
6596,6,6596,8,6596,5,6596,11.6403,6596,-0.460726,6596,0
6597,6,6597,8,6597,5,6597,11.6223,6597,-0.460971,6597,0
6598,6,6598,8,6598,5,6598,11.6055,6598,-0.461099,6598,0
6599,6,6599,8,6599,5,6599,11.5881,6599,-0.461246,6599,0
6600,6,6600,8,6600,5,6600,11.5709,6600,-0.461453,6600,0
6601,6,6601,8,6601,5,6601,11.5533,6601,-0.461472,6601,0
6602,6,6602,8,6602,5,6602,11.536,6602,-0.461404,6602,0
6603,6,6603,8,6603,5,6603,11.5186,6603,-0.461404,6603,0
6604,6,6604,8,6604,5,6604,11.5011,6604,-0.461944,6604,0
6605,6,6605,8,6605,5,6605,11.4839,6605,-0.46162,6605,0
6606,6,6606,8,6606,5,6606,11.467,6606,-0.461522,6606,0
6607,6,6607,8,6607,5,6607,11.4498,6607,-0.461787,6607,0
6608,6,6608,8,6608,5,6608,11.4322,6608,-0.462013,6608,0
6609,6,6609,8,6609,5,6609,11.4154,6609,-0.462062,6609,0
6610,6,6610,8,6610,5,6610,11.3974,6610,-0.461767,6610,0
6611,6,6611,8,6611,5,6611,11.3807,6611,-0.461856,6611,0
6612,6,6612,8,6612,5,6612,11.3629,6612,-0.461905,6612,0
6613,6,6613,8,6613,5,6613,11.3461,6613,-0.462249,6613,0
6614,6,6614,8,6614,5,6614,11.3286,6614,-0.462141,6614,0
6615,6,6615,8,6615,5,6615,11.3115,6615,-0.462091,6615,0
6616,6,6616,8,6616,5,6616,11.2942,6616,-0.462082,6616,0
6617,6,6617,8,6617,5,6617,11.2773,6617,-0.461708,6617,0
6618,6,6618,8,6618,5,6618,11.2603,6618,-0.46162,6618,0
6619,6,6619,8,6619,5,6619,11.2428,6619,-0.461807,6619,0
6620,6,6620,8,6620,5,6620,11.2254,6620,-0.462671,6620,0
6621,6,6621,8,6621,5,6621,11.2085,6621,-0.463192,6621,0
6622,6,6622,8,6622,5,6622,11.1911,6622,-0.463723,6622,0
6623,6,6623,8,6623,5,6623,11.1735,6623,-0.463909,6623,0
6624,6,6624,8,6624,5,6624,11.1567,6624,-0.464135,6624,0
6625,6,6625,8,6625,5,6625,11.14,6625,-0.464371,6625,0
6626,6,6626,8,6626,5,6626,11.1224,6626,-0.464273,6626,0
6627,6,6627,8,6627,5,6627,11.1052,6627,-0.464184,6627,0
6628,6,6628,8,6628,5,6628,11.0884,6628,-0.464479,6628,0
6629,6,6629,8,6629,5,6629,11.0712,6629,-0.46385,6629,0
6630,6,6630,8,6630,5,6630,11.0538,6630,-0.464253,6630,0
6631,6,6631,8,6631,5,6631,11.0366,6631,-0.464459,6631,0
6632,6,6632,8,6632,5,6632,11.0196,6632,-0.464302,6632,0
6633,6,6633,8,6633,5,6633,11.0025,6633,-0.464479,6633,0
6634,6,6634,8,6634,5,6634,10.9855,6634,-0.464892,6634,0
6635,6,6635,8,6635,5,6635,10.9688,6635,-0.464597,6635,0
6636,6,6636,8,6636,5,6636,10.9513,6636,-0.464823,6636,0
6637,6,6637,8,6637,5,6637,10.9347,6637,-0.464509,6637,0
6638,6,6638,8,6638,5,6638,10.9175,6638,-0.464823,6638,0
6639,6,6639,8,6639,5,6639,10.9001,6639,-0.46501,6639,0
6640,6,6640,8,6640,5,6640,10.8834,6640,-0.465029,6640,0
6641,6,6641,8,6641,5,6641,10.8667,6641,-0.465059,6641,0
6642,6,6642,8,6642,5,6642,10.8496,6642,-0.465216,6642,0
6643,6,6643,8,6643,5,6643,10.8327,6643,-0.464951,6643,0
6644,6,6644,8,6644,5,6644,10.8156,6644,-0.464843,6644,0
6645,6,6645,8,6645,5,6645,10.7987,6645,-0.465245,6645,0
6646,6,6646,8,6646,5,6646,10.7817,6646,-0.46555,6646,0
6647,6,6647,8,6647,5,6647,10.765,6647,-0.465254,6647,0
6648,6,6648,8,6648,5,6648,10.7488,6648,-0.465441,6648,0
6649,6,6649,8,6649,5,6649,10.7322,6649,-0.465078,6649,0
6650,6,6650,8,6650,5,6650,10.7151,6650,-0.465245,6650,0
6651,6,6651,8,6651,5,6651,10.6979,6651,-0.465244,6651,0
6652,6,6652,8,6652,5,6652,10.6813,6652,-0.464979,6652,0
6653,6,6653,8,6653,5,6653,10.6643,6653,-0.464715,6653,0
6654,6,6654,8,6654,5,6654,10.6469,6654,-0.464607,6654,0
6655,6,6655,8,6655,5,6655,10.6304,6655,-0.464322,6655,0
6656,6,6656,8,6656,5,6656,10.6135,6656,-0.46441,6656,0
6657,6,6657,8,6657,5,6657,10.5965,6657,-0.464617,6657,0
6658,6,6658,8,6658,5,6658,10.5794,6658,-0.465059,6658,0
6659,6,6659,8,6659,5,6659,10.5627,6659,-0.465717,6659,0
6660,6,6660,8,6660,5,6660,10.5456,6660,-0.466041,6660,0
6661,6,6661,8,6661,5,6661,10.5291,6661,-0.465992,6661,0
6662,6,6662,8,6662,5,6662,10.5124,6662,-0.465707,6662,0
6663,6,6663,8,6663,5,6663,10.4952,6663,-0.465884,6663,0
6664,6,6664,8,6664,5,6664,10.4785,6664,-0.46613,6664,0
6665,6,6665,8,6665,5,6665,10.4617,6665,-0.466366,6665,0
6666,6,6666,8,6666,5,6666,10.445,6666,-0.466405,6666,0
6667,6,6667,8,6667,5,6667,10.4285,6667,-0.466267,6667,0
6668,6,6668,8,6668,5,6668,10.4117,6668,-0.466533,6668,0
6669,6,6669,8,6669,5,6669,10.3946,6669,-0.466641,6669,0
6670,6,6670,8,6670,5,6670,10.378,6670,-0.466906,6670,0
6671,6,6671,8,6671,5,6671,10.3612,6671,-0.466926,6671,0
6672,6,6672,8,6672,5,6672,10.3444,6672,-0.467073,6672,0
6673,6,6673,8,6673,5,6673,10.3277,6673,-0.467161,6673,0
6674,6,6674,8,6674,5,6674,10.3117,6674,-0.46722,6674,0
6675,6,6675,8,6675,5,6675,10.2943,6675,-0.467378,6675,0
6676,6,6676,8,6676,5,6676,10.2777,6676,-0.467397,6676,0
6677,6,6677,8,6677,5,6677,10.2614,6677,-0.467407,6677,0
6678,6,6678,8,6678,5,6678,10.2448,6678,-0.467466,6678,0
6679,6,6679,8,6679,5,6679,10.2284,6679,-0.467319,6679,0
6680,6,6680,8,6680,5,6680,10.2115,6680,-0.467417,6680,0
6681,6,6681,8,6681,5,6681,10.1955,6681,-0.467898,6681,0
6682,6,6682,8,6682,5,6682,10.1789,6682,-0.468016,6682,0
6683,6,6683,8,6683,5,6683,10.162,6683,-0.468114,6683,0
6684,6,6684,8,6684,5,6684,10.1455,6684,-0.467859,6684,0
6685,6,6685,8,6685,5,6685,10.129,6685,-0.4678,6685,0
6686,6,6686,8,6686,5,6686,10.1126,6686,-0.467879,6686,0
6687,6,6687,8,6687,5,6687,10.0959,6687,-0.467898,6687,0
6688,6,6688,8,6688,5,6688,10.0795,6688,-0.467859,6688,0
6689,6,6689,8,6689,5,6689,10.0634,6689,-0.46778,6689,0
6690,6,6690,8,6690,5,6690,10.0458,6690,-0.467918,6690,0
6691,6,6691,8,6691,5,6691,10.0298,6691,-0.468183,6691,0
6692,6,6692,8,6692,5,6692,10.0134,6692,-0.468272,6692,0
6693,6,6693,8,6693,5,6693,9.99672,6693,-0.468272,6693,0
6694,6,6694,8,6694,5,6694,9.9804,6694,-0.468124,6694,0
6695,6,6695,8,6695,5,6695,9.96427,6695,-0.46834,6695,0
6696,6,6696,8,6696,5,6696,9.94747,6696,-0.468724,6696,0
6697,6,6697,8,6697,5,6697,9.931,6697,-0.468733,6697,0
6698,6,6698,8,6698,5,6698,9.91517,6698,-0.468193,6698,0
6699,6,6699,8,6699,5,6699,9.89828,6699,-0.468105,6699,0
6700,6,6700,8,6700,5,6700,9.88169,6700,-0.468213,6700,0
6701,6,6701,8,6701,5,6701,9.86539,6701,-0.468449,6701,0
6702,6,6702,8,6702,5,6702,9.84923,6702,-0.468301,6702,0
6703,6,6703,8,6703,5,6703,9.83279,6703,-0.467997,6703,0
