Time - Low Level,Amplitude - Low Level,Time - High Level,Amplitude - High Level,Time - Set Value,Amplitude - Set Value,Time - Tank B Level,Amplitude - Tank B Level,Time - Tank A Level,Amplitude - Tank A Level,Time - Volts to Valve,Amplitude - Volts to Valve
1196,6,1196,8,1196,7,1196,4.79338,1196,-0.454428,1196,2.20662
1197,6,1197,8,1197,7,1197,4.79932,1197,-0.454595,1197,2.20068
1198,6,1198,8,1198,7,1198,4.80454,1198,-0.454398,1198,2.19546
1199,6,1199,8,1199,7,1199,4.80941,1199,-0.454241,1199,2.19059
1200,6,1200,8,1200,7,1200,4.81419,1200,-0.454369,1200,2.18581
1201,6,1201,8,1201,7,1201,4.81967,1201,-0.454477,1201,2.18033
1202,6,1202,8,1202,7,1202,4.82484,1202,-0.45429,1202,2.17516
1203,6,1203,8,1203,7,1203,4.83051,1203,-0.453868,1203,2.16949
1204,6,1204,8,1204,7,1204,4.83636,1204,-0.453897,1204,2.16364
1205,6,1205,8,1205,7,1205,4.83909,1205,-0.454015,1205,2.16091
1206,6,1206,8,1206,7,1206,4.84551,1206,-0.453494,1206,2.15449
1207,6,1207,8,1207,7,1207,4.84873,1207,-0.453553,1207,2.15127
1208,6,1208,8,1208,7,1208,4.85553,1208,-0.453799,1208,2.14447
1209,6,1209,8,1209,7,1209,4.8621,1209,-0.453445,1209,2.1379
1210,6,1210,8,1210,7,1210,4.86411,1210,-0.453398,1210,2.13589
1211,6,1211,8,1211,7,1211,4.86819,1211,-0.453632,1211,2.13181
1212,6,1212,8,1212,7,1212,4.87408,1212,-0.453769,1212,2.12592
1213,6,1213,8,1213,7,1213,4.8782,1213,-0.453524,1213,2.1218
1214,6,1214,8,1214,7,1214,4.88461,1214,-0.453209,1214,2.11539
1215,6,1215,8,1215,7,1215,4.88809,1215,-0.453082,1215,2.11191
1216,6,1216,8,1216,7,1216,4.89261,1216,-0.452698,1216,2.10739
1217,6,1217,8,1217,7,1217,4.89733,1217,-0.453013,1217,2.10267
1218,6,1218,8,1218,7,1218,4.90152,1218,-0.452895,1218,2.09848
1219,6,1219,8,1219,7,1219,4.90617,1219,-0.452571,1219,2.09383
1220,6,1220,8,1220,7,1220,4.91328,1220,-0.452335,1220,2.08672
1221,6,1221,8,1221,7,1221,4.91782,1221,-0.452158,1221,2.08218
1222,6,1222,8,1222,7,1222,4.92204,1222,-0.452128,1222,2.07796
1223,6,1223,8,1223,7,1223,4.92631,1223,-0.451804,1223,2.07369
1224,6,1224,8,1224,7,1224,4.92964,1224,-0.451627,1224,2.07036
1225,6,1225,8,1225,7,1225,4.9355,1225,-0.451667,1225,2.0645
1226,6,1226,8,1226,7,1226,4.93795,1226,-0.451313,1226,2.06205
1227,6,1227,8,1227,7,1227,4.94239,1227,-0.451048,1227,2.05761
1228,6,1228,8,1228,7,1228,4.94692,1228,-0.451002,1228,2.05308
1229,6,1229,8,1229,7,1229,4.9503,1229,-0.45091,1229,2.0497
1230,6,1230,8,1230,7,1230,4.95362,1230,-0.450871,1230,2.04638
1231,6,1231,8,1231,7,1231,4.95761,1231,-0.450674,1231,2.04239
1232,6,1232,8,1232,7,1232,4.96074,1232,-0.450959,1232,2.03926
1233,6,1233,8,1233,7,1233,4.96345,1233,-0.450832,1233,2.03655
1234,6,1234,8,1234,7,1234,4.96931,1234,-0.450507,1234,2.03069
1235,6,1235,8,1235,7,1235,4.97464,1235,-0.450596,1235,2.02536
1236,6,1236,8,1236,7,1236,4.97867,1236,-0.449928,1236,2.02133
1237,6,1237,8,1237,7,1237,4.98314,1237,-0.449859,1237,2.01686
1238,6,1238,8,1238,7,1238,4.98468,1238,-0.450321,1238,2.01532
1239,6,1239,8,1239,7,1239,4.98881,1239,-0.449987,1239,2.01119
1240,6,1240,8,1240,7,1240,4.99081,1240,-0.450242,1240,2.00919
1241,6,1241,8,1241,7,1241,4.99258,1241,-0.450645,1241,2.00742
1242,6,1242,8,1242,7,1242,4.99566,1242,-0.450733,1242,2.00434
1243,6,1243,8,1243,7,1243,4.99809,1243,-0.450949,1243,2.00191
1244,6,1244,8,1244,7,1244,4.99991,1244,-0.450596,1244,2.00009
1245,6,1245,8,1245,7,1245,5.00495,1245,-0.450527,1245,1.99505
1246,6,1246,8,1246,7,1246,5.01247,1246,-0.450822,1246,1.98753
1247,6,1247,8,1247,7,1247,5.02176,1247,-0.450409,1247,1.97824
